Feature,Importance
id.resp_p,0.2306191498526024
proto_tcp,0.15794274772829087
history_D,0.12153505785454886
proto_udp,0.11567499160193487
orig_ip_bytes,0.11498251704043584
history_S,0.09608696282979931
id.orig_p,0.05890461875667602
resp_port_is_well_known,0.01841325385772139
proto_icmp,0.011153800831091987
orig_pkts,0.010909899449352794
orig_port_is_well_known,0.009683061959124094
total_pkts,0.009291292617359163
resp_bytes_missing,0.007846967442116633
conn_state_S0,0.006415099775882892
conn_state_OTH,0.006097365931480594
